vae_loss,recon_loss,kl_loss,dyn_loss
0.5607353,0.26075667,0.09415817,0.50579906
0.56143224,0.26722488,0.11336168,0.47505313
0.66291857,0.30621767,0.11626718,0.59713465
0.6868901,0.27448788,0.11934847,0.70545596
0.68091905,0.26023906,0.11943243,0.7219275
0.6426217,0.28034145,0.12585577,0.5987047
0.6700647,0.27721545,0.1524558,0.63324267
0.64093685,0.25943416,0.17031737,0.5926881
0.6383985,0.25265712,0.15064277,0.62084
0.7136985,0.2659359,0.16504174,0.73048353
0.5742619,0.26283577,0.14781393,0.47503832
0.64166796,0.25179896,0.14310384,0.63663423
0.6829895,0.30069733,0.14826675,0.61631763
0.77687144,0.29005128,0.12360859,0.8500318
0.7052313,0.273705,0.1265816,0.73647106
0.54882985,0.2654158,0.10829675,0.45853138
0.7027748,0.32012215,0.10336056,0.66194475
0.67534566,0.31091478,0.11456634,0.6142955
0.68095005,0.25211143,0.120012835,0.73766446
0.8078408,0.2541065,0.11290094,0.99456775
0.6688687,0.3001663,0.1445902,0.5928146
0.6439895,0.2718167,0.12293676,0.6214088
0.7111211,0.2796375,0.14968696,0.7132802
0.59775853,0.27452904,0.12768319,0.5187758
0.6309278,0.26056266,0.14127141,0.5994589
0.57288504,0.22137205,0.1603494,0.5426766
0.7521798,0.28009936,0.15316029,0.7910006
0.56685257,0.26823837,0.14681752,0.45041087
0.6228497,0.27177435,0.15129834,0.5508523
0.66117835,0.24603046,0.14204338,0.6882524
0.86945677,0.30223626,0.13824095,0.9962001
0.5810728,0.26631168,0.120992675,0.5085296
0.64484763,0.28925374,0.14845134,0.56273645
0.7260735,0.3067105,0.11012382,0.7286021
0.60673237,0.2766764,0.112298794,0.5478132
0.7326732,0.3210375,0.14199072,0.68128073
0.67724454,0.29422337,0.13487943,0.63116294
0.748471,0.28562582,0.13350366,0.7921868
0.7939255,0.30814114,0.15454584,0.81702286
0.6565127,0.26018196,0.15086952,0.64179194
0.7004912,0.2622446,0.16884872,0.7076444
0.6448668,0.26160342,0.16847473,0.59805214
0.74711114,0.2869276,0.18180808,0.738559
0.7022579,0.2948404,0.16912048,0.6457145
0.5909594,0.26316795,0.16287133,0.49271163
0.66065377,0.3249497,0.15180016,0.51960796
0.71280915,0.2762712,0.17304447,0.7000314
0.6412613,0.2412842,0.17150219,0.62845194
0.63171184,0.25016934,0.15919095,0.60389405
0.6342454,0.24756564,0.15735026,0.6160093
0.6603623,0.28464383,0.17075029,0.5806867
